"name","phone","e-mail","address"
"Ярослава Палій","+38 003 411 29 77","marianasirchenko@turkalo.com","узвіз Вапняний 1-й, буд. 6 кв. 79, Білопілля, 50626"
"Юстина Даниленко","+38 (058) 662-82-79","qiurchuk@tsushko.info","проспект Композитора Ніщинського, буд. 286 кв. 3, Красноград, 12279"
"Златослава Єрченко","059 937 52 65","pshelest@gmail.com","набережна Туристський, буд. 42 кв. 7, Золочів, 31870"
"Віолетта Вдовиченко","068 383-33-49","zabilazakhar@ukr.net","набережна Гена Іоганна, буд. 2, Вараш, 67785"
"Орина Михайличенко","+38 026 240-62-78","boryslav09@meta.ua","проспект Чорноморська, буд. 293 кв. 0, Борзна, 69374"
"пані Михайлина Гуцуляк","+38 075 620-79-56","adalytvyn@lytvynenko.net","набережна Лузанівська, буд. 873, Бобровиця, 54897"
"Миколай Алексюк","+38 024 251-67-27","bohuslavafranko@baran.net","проспект Чапаєва, буд. 7, Лубни, 51290"
"Валентина Євтушок","+38 028 033-07-53","oleksandrbatih@email.ua","набережна Богдана Хмельницького, буд. 0 кв. 7, Енергодар, 58417"
"Наталія Дашкевич","857 36 23","symonenkorostyslav@bezborodko.info","узвіз Садова 3-тя, буд. 5 кв. 082, Василівка , 10199"
"Спас Негода","915-70-76","azar88@meta.ua","вулиця Палубний, буд. 802, Знам'янка, 93537"
"Віра Корсун","007 980 97 69","azhazhapavlo@ukr.net","шосе Пугачова, буд. 97, Ямпіль, 24705"
"Олександр Чуприна","+38 015 527 59 95","volodymyrsatsiuk@email.ua","площа Іванова Ігоря, буд. 13, Миронівка, 18790"
"Богуслав Щорс","027 821 73 95","kbabii@ukr.net","шосе Локомотивний 4-й, буд. 079 кв. 5, Торецьк, 97254"
"Прохір Верхола","098 702-54-20","alevchenko@meta.ua","проспект Лузанівка, буд. 196, Жидачів, 44092"
"Юстина Цюцюра","+38 064 044 34 00","dfesenko@olifirenko.org","шосе Пересипський узвіз, буд. 79 кв. 86, Чортків, 90057"
"Марина Їжакевич","+38 048 114-31-34","yvlokh@gmail.com","провулок Сергія Уточкіна, буд. 118, Київ, 65464"
"Христина Бабак","+38 000 320-83-97","sdubenko@voblyi.ukr","шосе Водопровідна, буд. 463, Мерефа, 39674"
"Ростислав Ватаманюк","+38 008 931-51-23","hrytsenkodanylo@malyshko.ua","сквер Кондрашина, буд. 26, Суми, 31268"
"пан Степан Василенко","+38 (016) 519-22-14","atroshchenkosnizhana@shmorhun-babko.ukr","набережна Леваневського тупик, буд. 11 кв. 60, Авдіївка, 91741"
"Зорян Юхименко","+38 003 282-25-60","leonidchernenko@verkhovynets.com","проспект Архітектурна, буд. 9, Миронівка, 05949"
"Франц Зінченко","+38 002 121-04-77","vasylynashvachko@kolesnychenko.org","вулиця Санаторний, буд. 22 кв. 923, Дебальцеве, 55672"
"Ліза Микитюк","048-42-27","oliinykzlatoslava@meta.ua","шосе Новоукраїнський, буд. 68 кв. 253, Голубівка, 84688"
"Богдан Демʼяненко","072 748 66 57","svitlanaiatseniuk@meta.ua","узвіз Гоголя, буд. 71 кв. 904, Бершадь, 94720"
"Пармен Арсенич","+38 (099) 338-02-88","ivanartymovych@prykhodko.com","вулиця Мала Садова, буд. 84, Любомль, 32063"
"Леон Івасюк","001 959 57 12","anita29@ukr.net","шосе Заводська, буд. 2, Умань, 10603"
"Ольга Бабич","936 84 16","iiarema@chernenko.org","вулиця Аеропортівський 4-й, буд. 1, Бібрка, 10424"
"Амвросій Смик","961-99-66","roman42@gov.ua","сквер Новоселів, буд. 33, Лутугине, 25743"
"Азар Адаменко","697 27 76","jfurs@ivashchenko.ua","проспект Державіна, буд. 63 кв. 58, Борщів, 69870"
"Юхим Рак","912 29 66","demian98@sirchenko.info","провулок Генуезька, буд. 29, Тячів, 67411"
"Демид Штокало","+38 053 209-83-80","tsiupahennadii@taran.org","проспект Кругова, буд. 93 кв. 89, Богодухів, 39596"
"Франц Худобʼяк","940 86 42","levko04@romanchuk-medvedenko.ukr","проспект Садова 2-га, буд. 64, Снятин, 70026"
"Ганна Гузенко","+38 036 891-14-20","oleksazarudnyi@kashchenko-gerega.info","шосе Василя Кандинського 2-й, буд. 979, Заставна, 56997"
"Надія Нестеренко","+38 015 898-73-93","sdemianiuk@yaremkiv-bazylevskyi.ua","сквер Артилерійський 2-й, буд. 235, Карлівка, 59151"
"Гліб Бевз","431-25-42","hryhorii05@meta.ua","сквер Академіка Панкратової, буд. 171, Радехів, 22434"
"Оксана Абраменко","050 485-19-49","danvermenych@gmail.com","вулиця Парашутний, буд. 1, Березівка, 64520"
"Валентин Шило","358 72 30","oryna03@tereshchenko-davymuka.info","вулиця Касима Юрія, буд. 71, Алмазна, 61020"
"Марʼяна Ґжицький","+38 047 491 02 70","odarka04@ukr.net","узвіз Авдєєва-Чорноморського, буд. 3 кв. 29, Рубіжне, 36461"
"Герман  Влох","068 850-43-96","piddubnyiiukhym@email.ua","площа Гонтаренко, буд. 606 кв. 36, Миргород, 75064"
"Одарка Абрамчук","080 838-16-43","martanestaiko@meta.ua","набережна 13-та ст. Великого Фонтану пляж, буд. 36 кв. 536, Вижниця, 66044"
"Наталія Гузій","839 40 81","lizamakohon@artiukh.info","проспект Привозна, буд. 93 кв. 2, Вишневе , 81897"
"Віра Охримович","+38 086 127-83-85","nkorzh@chmil.net","набережна Шота Руставелі, буд. 3 кв. 093, Новий Буг, 02326"
"Олесь Усик","095 080-65-15","milenakabanenko@pustovit.ukr","проспект Паустовського, буд. 5, Глухів, 90072"
"Миколай Талан","+38 011 826 63 05","terezapustovit@furs-babarychenko.info","провулок Миколи Боровського, буд. 52 кв. 39, Харків, 07770"
"Валерій Скирда","000 343 48 92","kabaliukvarvara@gmail.com","набережна Паустовського, буд. 4 кв. 592, Зборів, 09730"
"Володимир Якименко","+38 060 395 11 31","wdeisun@tytarenko.net","набережна Морський, буд. 217, Лохвиця, 19759"
"Ярослава Пʼятаченко","+38 011 358-49-50","ihnatiemelianenko@gov.ua","парк Маршрутна, буд. 5 кв. 83, Андрушівка, 72656"
"Ада Козак","089 854-03-54","kovaliukmyron@derehus.net","провулок Травневий 3-й, буд. 725, Марганець , 49185"
"Мілена Рубець","+38 081 590-77-00","emiliia79@i.ua","сквер Розумовський 1-й, буд. 5 кв. 98, Пологи , 61044"
"Теодор Дацюк","+38 098 619 10 04","dzhunorest@gov.ua","сквер Олександра Тимошенка, буд. 21, Кремінна, 23210"
"Тереза Христенко","+38 094 398-54-39","hordiiprymachenko@i.ua","парк Юннатів, буд. 908 кв. 0, Обухів, 51544"
"Володимир Чекалюк","128-02-87","solomondemianenko@dashenko-pryimak.net","площа Василя Кандинського 1-й, буд. 49, Антрацит , 82326"
"Леон Андрусенко","+38 059 135 10 68","rnalyvaiko@gov.ua","вулиця Плієва, буд. 8, Турка, 61919"
"Хома Лубенець","078 804-34-72","hsachenko@gmail.com","сквер Єліна, буд. 42 кв. 83, Лохвиця, 21670"
"Болеслав Гресь","+38 082 954-59-78","lavrenkomaksym@gov.ua","площа Кавказька, буд. 38, Ковель, 38371"
"Микита Гузенко","+38 022 002-19-55","smiroshnychenko@gov.ua","набережна Балтська дорога, буд. 2, Гола Пристань, 27206"
"пані Ярина Рева","715-46-00","cvashchenko@shapoval-baklan.org","проспект 2-й Академічний тупик, буд. 5 кв. 5, Ржищів, 01014"
"Лесь Цимбал","663-69-24","veniiamyn97@email.ua","шосе Абрикосовий, буд. 078, Добромиль, 35089"
"Роксолана Дзиндра","+38 (015) 765-00-67","solomiiaiaremko@dotsenko-riaboshapka.ua","набережна Амбулаторний 1-й, буд. 1, Красногорівка, 80566"
"Артем Бевз","295 29 81","boleslav88@chupryna.ua","площа Сортувальна 1-ша, буд. 2, Білицьке, 69516"
"Софія Вишняк","+38 044 557-94-90","iashchukandrii@ukr.net","набережна Восьмого березня 2-й, буд. 55 кв. 02, Берислав, 33035"
"Адам Жадан","+38 061 764-68-31","zbevz@vdovenko.info","сквер Чернишевського, буд. 1, Чигирин, 13423"
"Онисим Приходько","001 364 90 88","rfomenko@bezditko.net","сквер Кавунова, буд. 61, Монастирище, 63335"
"Амвросій Верменич","289 31 84","thavrysh@ukr.net","проспект Лузанівський, буд. 00, Середина-Буда, 14862"
"Людмила Романчук","034 636-35-75","okhrimdeineka@email.ua","проспект Приморський, буд. 95, Федорівка, 88403"
"Марта Петлюра","+38 007 671-74-68","onysym06@ivanchenko-nehoda.net","сквер Аграрна, буд. 52, Біляївка, 84212"
"пані Златослава Черінько","+38 047 327 76 55","martazasukha@ukr.net","узвіз Миколи Плигуна, буд. 162, Болехів, 68024"
"Амалія Панчук","064 782-39-90","venedyktmalyk@vdovenko.org","набережна Спиридонівська, буд. 349 кв. 3, Хоростків, 13050"
"Мирослав Петлюра","206-40-45","kylymnykvioletta@gmail.com","набережна 5-та Лінія Марії Демченко, буд. 028 кв. 17, Берестечко, 02596"
"Роксолана Яремчук","+38 (047) 227-05-85","tereza94@levchenko.net","парк Чорноморський 8-й, буд. 878, Мерефа, 52683"
"Артем Наливайко","+38 (053) 241-69-56","mykhailychenkopylyp@email.ua","шосе Планетна, буд. 41 кв. 8, Чигирин, 20283"
"Олекса Воблий","003 560 98 45","danylo29@gmail.com","сквер Улітіна, буд. 237 кв. 44, Виноградів, 46276"
"Любов Чміль","+38 080 980 06 58","lonishchuk@derevianko.ua","парк Дніпровська, буд. 03 кв. 170, Городище , 42532"
